,BLOCK,DATE,TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,Inverter_No_1,DC_POWER_1,AC_POWER_1,Inverter_No_2,DC_POWER_2,AC_POWER_2,Inverter_No_3,DC_POWER_3,AC_POWER_3,Inverter_No_4,DC_POWER_4,AC_POWER_4,Inverter_No_5,DC_POWER_5,AC_POWER_5,Inverter_No_6,DC_POWER_6,AC_POWER_6,Inverter_No_7,DC_POWER_7,AC_POWER_7,Inverter_No_8,DC_POWER_8,AC_POWER_8,Inverter_No_9,DC_POWER_9,AC_POWER_9,Inverter_No_10,DC_POWER_10,AC_POWER_10,Inverter_No_11,DC_POWER_11,AC_POWER_11,Inverter_No_12,DC_POWER_12,AC_POWER_12,Inverter_No_13,DC_POWER_13,AC_POWER_13,Inverter_No_14,DC_POWER_14,AC_POWER_14,Inverter_No_15,DC_POWER_15,AC_POWER_15,Inverter_No_16,DC_POWER_16,AC_POWER_16,Inverter_No_17,DC_POWER_17,AC_POWER_17,Inverter_No_18,DC_POWER_18,AC_POWER_18,Inverter_No_19,DC_POWER_19,AC_POWER_19,Inverter_No_20,DC_POWER_20,AC_POWER_20,Inverter_No_21,DC_POWER_21,AC_POWER_21,Inverter_No_22,DC_POWER_22,AC_POWER_22
10,11,2020-05-15,02:30,26.2603992,24.482406633333337,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
11,12,2020-05-15,02:45,26.2978261,24.4886982,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
12,13,2020-05-15,03:00,26.328249103448275,24.50628962068966,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
13,14,2020-05-15,03:15,26.15870973333333,24.595197433333333,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
14,15,2020-05-15,03:30,26.078499333333333,24.801314366666663,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
15,16,2020-05-15,03:45,26.00130396551724,24.60781744827586,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
16,17,2020-05-15,04:00,25.6972106,24.626179,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
17,18,2020-05-15,04:15,25.6277024137931,24.773145068965515,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
18,19,2020-05-15,04:30,25.482045785714284,24.796690750000003,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
19,20,2020-05-15,04:45,25.23093168965517,24.43690427586207,0.0,1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,6,0.0,0.0,7,0.0,0.0,8.0,0.0,0.0,9.0,0.0,0.0,10,0.0,0.0,11.0,0.0,0.0,12.0,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15.0,0.0,0.0,16.0,0.0,0.0,17,0.0,0.0,18,0.0,0.0,19,0.0,0.0,20,0.0,0.0,21.0,0.0,0.0,22,0.0,0.0
